script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
Mongolian,0.6578947368421053,0.0,0.0,8.49673202614379,0.0,0.6024096385542169,0.0,0.0,0.5988023952095808,0.0
Newa,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,1.075268817204301,3.1914893617021276,0.0,0.0
Myanmar,141.02564102564102,18.617021276595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miao,0.0,0.0,0.0,0.0,0.0,0.0,12.030075187969924,0.0,0.0,0.0
Ugaritic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaiksuki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buhid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medefaidrin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenician,7.407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_South_Arabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lepcha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgian,0.0,5.833333333333333,0.0,0.0,0.0,36.22047244094488,0.0,0.0,0.0,0.0
Wancho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmyrene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nushu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siddham,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahom,0.0,0.0,0.0,0.0,0.0,1.7543859649122806,0.0,0.0,12.068965517241379,0.0
Tirhuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syloti_Nagri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0
Old_North_Arabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soyombo,0.0,0.0,0.0,0.0,0.0,1.25,2.4691358024691357,0.0,0.0,0.0
Lydian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hangul,1.0327911179963851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gothic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khudawadi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ol_Chiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kannada,0.0,1.1627906976744187,0.0,1.1494252873563218,0.0,1.1363636363636365,0.0,0.0,1.1235955056179776,1.1111111111111112
Takri,0.0,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,1.492537313432836,0.0
Tamil,1.408450704225352,0.0,0.0,0.0,0.0,0.0,70.83333333333333,0.0,0.0,0.0
Sundanese,0.0,30.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manichaean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sogdian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gurmukhi,2.5974025974025974,0.0,0.0,0.0,0.0,1.2658227848101267,0.0,0.0,0.0,0.0
Hanunoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yezidi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479338842975207,0.0
Cham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khitan_Small_Script,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hatran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pahawh_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Cursive,0.0,0.0,246.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.8403361344537815,0.0,0.0,2.7777777777777777
Nandinagari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,27.07171314741036,11.757328734911429,0.7013606396409033,1.392951664577239,1.1540046709712872,3.096563900584001,2.8059544197075486,3.6263454638646846,2.0403116112278967,0.5937954435288415
Greek,0.9881422924901185,0.9784735812133072,0.0,0.3875968992248062,0.0,0.0,0.0,0.0,0.0,0.0
Old_Persian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syriac,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0
Telugu,16.25,2.150537634408602,1.0526315789473684,0.0,0.0,1.0416666666666667,1.0309278350515463,0.0,2.0408163265306123,0.0
Oriya,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0
Gunjala_Gondi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Tham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malayalam,25.641025641025642,1.0204081632653061,1.0101010101010102,14.0,2.6315789473684212,0.0,0.0,0.8547008547008547,0.0,0.0
Samaritan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vithkuqi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inscriptional_Parthian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elymaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Le,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meetei_Mayek,0.0,41.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
