script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,pt
Brahmi,0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,5.504587155963303,0.0,6.430513081889228
Egyptian_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.8403361344537815,0.0,0.0,2.7777777777777777,3.6181139122315593
Lisu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,2.0833333333333335
Kawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadian_Aboriginal,12.698412698412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2535211267605635,0.0,14.951933825173262
Nko,0.0,0.0,0.0,0.0,0.0,5.084745762711864,0.0,0.0,0.0,0.0,5.084745762711864
Shavian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syloti_Nagri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,2.272727272727273
Anatolian_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tangsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kannada,0.0,1.1627906976744187,0.0,1.1494252873563218,0.0,1.1363636363636365,0.0,0.0,1.1235955056179776,1.1111111111111112,5.683286238123467
Saurashtra,0.0,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678
Duployan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tagalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0
Nabataean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siddham,0.0,0.0,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77777777777778
Wancho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sinhala,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,38.40909090909091
Yezidi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katakana,82.92682926829268,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,5.2631578947368425,0.3125,89.83582049636286
Oriya,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,12.222222222222221
Samaritan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dives_Akuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hanifi_Rohingya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makasar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meetei_Mayek,0.0,41.07142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.07142857142857
Yi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osmanya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devanagari,40.18691588785047,1.3333333333333333,1.3157894736842106,0.0,0.0,1.2987012987012987,-1.2820512820512822,0.0,0.0,6.4935064935064934,49.34619520502452
Masaram_Gondi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bassa_Vah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newa,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,1.075268817204301,3.1914893617021276,0.0,0.0,5.353714700645559
Ogham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiragana,2.247191011235955,0.0,0.0,0.0,313.1868131868132,0.0,0.7978723404255319,0.0,0.2638522427440633,0.2631578947368421,316.7588866759556
